,0
"(23, 0)",23.8533
"(23, 1)",12.315
"(23, 2)",12.315
"(23, 3)",12.315
"(23, 4)",12.315
"(23, 5)",12.315
"(23, 17)",0.0
"(23, 18)",0.0
"(23, 19)",23.8533
"(23, 20)",0.0
"(23, 21)",0.0
"(23, 22)",23.8533
"(23, 23)",0.0
"(23, 24)",0.0
"(23, 25)",23.8533
"(23, 26)",0.0
"(23, 27)",0.0
"(23, 28)",6.545
"(23, 29)",6.545
"(23, 30)",6.545
"(23, 31)",6.545
"(23, 32)",6.545
"(23, 33)",23.8533
"(23, 34)",17.3517
"(23, 35)",17.3517
"(23, 36)",17.3517
"(23, 37)",23.8533
"(23, 38)",23.8533
"(23, 39)",17.3517
"(23, 40)",17.3517
"(23, 41)",17.3517
"(23, 42)",23.8533
"(23, 43)",25.94
"(23, 44)",25.94
"(23, 45)",20.72
"(23, 46)",20.72
"(23, 47)",20.72
"(23, 48)",20.72
"(23, 49)",20.72
"(23, 62)",23.8867
"(23, 63)",23.8867
"(23, 64)",23.8533
"(23, 65)",23.8867
"(23, 66)",23.8867
"(23, 67)",23.8533
"(23, 68)",23.8867
"(23, 69)",23.8867
"(23, 70)",23.8533
"(23, 71)",21.8367
"(23, 72)",21.8367
"(23, 73)",21.8367
"(23, 74)",21.8367
"(23, 75)",21.8367
"(23, 96)",0.0
"(23, 97)",0.0
"(23, 98)",0.0
"(24, 0)",23.8533
"(24, 1)",12.315
"(24, 2)",12.315
"(24, 3)",12.315
"(24, 4)",12.315
"(24, 5)",12.315
"(24, 17)",0.0
"(24, 18)",0.0
"(24, 19)",23.8533
"(24, 20)",0.0
"(24, 21)",0.0
"(24, 22)",23.8533
"(24, 23)",0.0
"(24, 24)",0.0
"(24, 25)",23.8533
"(24, 26)",0.0
"(24, 27)",0.0
"(24, 28)",6.545
"(24, 29)",6.545
"(24, 30)",6.545
"(24, 31)",6.545
"(24, 32)",6.545
"(24, 33)",23.8533
"(24, 34)",17.3517
"(24, 35)",17.3517
"(24, 36)",17.3517
"(24, 37)",23.8533
"(24, 38)",23.8533
"(24, 39)",17.3517
"(24, 40)",17.3517
"(24, 41)",17.3517
"(24, 42)",23.8533
"(24, 43)",25.94
"(24, 44)",25.94
"(24, 45)",20.72
"(24, 46)",20.72
"(24, 47)",20.72
"(24, 48)",20.72
"(24, 49)",20.72
"(24, 62)",23.8867
"(24, 63)",23.8867
"(24, 64)",23.8533
"(24, 65)",23.8867
"(24, 66)",23.8867
"(24, 67)",23.8533
"(24, 68)",23.8867
"(24, 69)",23.8867
"(24, 70)",23.8533
"(24, 71)",21.8367
"(24, 72)",21.8367
"(24, 73)",21.8367
"(24, 74)",21.8367
"(24, 75)",21.8367
"(24, 96)",0.0
"(24, 97)",0.0
"(24, 98)",0.0
"(25, 0)",0.0
"(25, 1)",13.8983
"(25, 2)",13.8983
"(25, 3)",13.8983
"(25, 4)",13.8983
"(25, 5)",13.8983
"(25, 17)",23.7383
"(25, 18)",23.7383
"(25, 19)",0.0
"(25, 20)",23.7383
"(25, 21)",23.7383
"(25, 22)",0.0
"(25, 23)",23.7383
"(25, 24)",23.7383
"(25, 25)",0.0
"(25, 26)",23.7383
"(25, 27)",23.7383
"(25, 28)",22.28
"(25, 29)",22.28
"(25, 30)",22.28
"(25, 31)",22.28
"(25, 32)",22.28
"(25, 33)",0.0
"(25, 34)",16.8933
"(25, 35)",16.8933
"(25, 36)",16.8933
"(25, 37)",0.0
"(25, 38)",0.0
"(25, 39)",16.8933
"(25, 40)",16.8933
"(25, 41)",16.8933
"(25, 42)",0.0
"(25, 43)",11.2267
"(25, 44)",11.2267
"(25, 45)",4.595
"(25, 46)",4.595
"(25, 47)",4.595
"(25, 48)",4.595
"(25, 49)",4.595
"(25, 62)",9.9617
"(25, 63)",9.9617
"(25, 64)",0.0
"(25, 65)",9.9617
"(25, 66)",9.9617
"(25, 67)",0.0
"(25, 68)",9.9617
"(25, 69)",9.9617
"(25, 70)",0.0
"(25, 71)",7.37
"(25, 72)",7.37
"(25, 73)",7.37
"(25, 74)",7.37
"(25, 75)",7.37
"(25, 96)",23.7383
"(25, 97)",23.7383
"(25, 98)",23.7383
"(26, 0)",23.8533
"(26, 1)",12.315
"(26, 2)",12.315
"(26, 3)",12.315
"(26, 4)",12.315
"(26, 5)",12.315
"(26, 17)",0.0
"(26, 18)",0.0
"(26, 19)",23.8533
"(26, 20)",0.0
"(26, 21)",0.0
"(26, 22)",23.8533
"(26, 23)",0.0
"(26, 24)",0.0
"(26, 25)",23.8533
"(26, 26)",0.0
"(26, 27)",0.0
"(26, 28)",6.545
"(26, 29)",6.545
"(26, 30)",6.545
"(26, 31)",6.545
"(26, 32)",6.545
"(26, 33)",23.8533
"(26, 34)",17.3517
"(26, 35)",17.3517
"(26, 36)",17.3517
"(26, 37)",23.8533
"(26, 38)",23.8533
"(26, 39)",17.3517
"(26, 40)",17.3517
"(26, 41)",17.3517
"(26, 42)",23.8533
"(26, 43)",25.94
"(26, 44)",25.94
"(26, 45)",20.72
"(26, 46)",20.72
"(26, 47)",20.72
"(26, 48)",20.72
"(26, 49)",20.72
"(26, 62)",23.8867
"(26, 63)",23.8867
"(26, 64)",23.8533
"(26, 65)",23.8867
"(26, 66)",23.8867
"(26, 67)",23.8533
"(26, 68)",23.8867
"(26, 69)",23.8867
"(26, 70)",23.8533
"(26, 71)",21.8367
"(26, 72)",21.8367
"(26, 73)",21.8367
"(26, 74)",21.8367
"(26, 75)",21.8367
"(26, 96)",0.0
"(26, 97)",0.0
"(26, 98)",0.0
"(27, 0)",23.8533
"(27, 1)",12.315
"(27, 2)",12.315
"(27, 3)",12.315
"(27, 4)",12.315
"(27, 5)",12.315
"(27, 17)",0.0
"(27, 18)",0.0
"(27, 19)",23.8533
"(27, 20)",0.0
"(27, 21)",0.0
"(27, 22)",23.8533
"(27, 23)",0.0
"(27, 24)",0.0
"(27, 25)",23.8533
"(27, 26)",0.0
"(27, 27)",0.0
"(27, 28)",6.545
"(27, 29)",6.545
"(27, 30)",6.545
"(27, 31)",6.545
"(27, 32)",6.545
"(27, 33)",23.8533
"(27, 34)",17.3517
"(27, 35)",17.3517
"(27, 36)",17.3517
"(27, 37)",23.8533
"(27, 38)",23.8533
"(27, 39)",17.3517
"(27, 40)",17.3517
"(27, 41)",17.3517
"(27, 42)",23.8533
"(27, 43)",25.94
"(27, 44)",25.94
"(27, 45)",20.72
"(27, 46)",20.72
"(27, 47)",20.72
"(27, 48)",20.72
"(27, 49)",20.72
"(27, 62)",23.8867
"(27, 63)",23.8867
"(27, 64)",23.8533
"(27, 65)",23.8867
"(27, 66)",23.8867
"(27, 67)",23.8533
"(27, 68)",23.8867
"(27, 69)",23.8867
"(27, 70)",23.8533
"(27, 71)",21.8367
"(27, 72)",21.8367
"(27, 73)",21.8367
"(27, 74)",21.8367
"(27, 75)",21.8367
"(27, 96)",0.0
"(27, 97)",0.0
"(27, 98)",0.0
"(28, 0)",22.1583
"(28, 1)",10.62
"(28, 2)",10.62
"(28, 3)",10.62
"(28, 4)",10.62
